Name,Description,Time to cook,Ingredients list,Recipe,Category
Grilled Chipotle Berry Pork Tenderloin,Simple pork tenderloin reciple marinated in a chipotle raspberry marinade,,"- 12oz Chipotle-Raspberry Sauce
- 1/2 cup soy sauce
- 2 tbsp honey
- 4 garlic cloves, minced
- 1 tsp garlic powder
- 1 tsp garlic salt
- 1 lb pork tenderloin
- vegetable oil","1. In a medium bowl, whisk together the chipotle-raspberry sauce, garlic, garlic powder, honey, and soy sauce. Coat pork tenderloin in marinade in bowl. Cover and marinate in the refrigerator for 6 to 8 hours.
2. Oil grill. Preheat grill to medium-high heat. 
3. Remove the pork from the marinade and place it on the grill. Brush tenderloin with a fair amount of marinade and discard the rest. Grill the tenderloin until it reaches 145°F, about 15 minutes. Rotate it a quarter-turn every 3 minutes.
4. Transfer to a cutting board and let rest for 15 minutes. Slice cross-wise and serve
5. Tightly wrap leftover pork in plastic and store in the refrigerator for up to 3 days",Entree
Mom's Shanghai Rolls,Flora's Lumpia!,,"- 2 lbs ground beef
- 4 eggs
- 1 tbsp garlic powder 
- 1 satchet magic sarap 
- 1 tbsp salt or to taste
- 1 tsp ground pepper
- 1 cup carrots chopped
- 1 cup onions chopped 
- Menlo wrapper
- Egg wash","1. Mix all ingredients in a mixing bowl
2. spread fill evenly on bottom third of menlo wrapper
3. fold bottom third of menlo wrapper
4. roll menlo wrapper
5. cut into thirds",Appetizer
Classic Cacio e Pepe,,,"- 3 ounces Pecorino Romano cheese, 2 ounces grated (1 cup), 1 ounce shredded (½ cup)
- 6 ounces spaghetti
- 1 tablespoon heavy cream
- ¾ teaspoon pepper
- 1 teaspoon extra-virgin olive oil
- ½ teaspoon salt","1. Place grated Pecorino in medium bowl. Set colander in large bowl.
2. Bring 1 quart water to boil in large pot. Add pasta and salt and cook, stirring often to prevent clumping, until al dente. Drain pasta in prepared colander, reserving cooking water, and return pasta to pot.
3. Slowly whisk ½ cup reserved cooking water into grated Pecorino until smooth, then whisk in cream, oil, and pepper. Gradually pour cheese mixture over pasta, tossing to coat. Let pasta rest for 1 to 2 minutes, tossing frequently and adjusting consistency with remaining reserved cooking water as needed. Serve with shredded Pecorino.",Side
Honey Miso Brown Butter Salmon,,,"- [ ] 1 stick (1/2 cup) unsalted butter
- [ ] 2 to 3 cloves garlic, thinly sliced
- [x] 1 small shallot, thinly sliced
- [x] 1/4 cup honey, plus more if needed
- [x] big pinch black pepper
- [x] Kosher salt, if needed
- [x] 1/2 teaspoon crushed red pepper flakes
- [x] 3 tablespoons white miso paste
- [ ] 1 tbsp lemon juice","1. Brown butter in a stainless steel skillet
2. As soon as the butter is browned, remove from heat and add the garlic, shallot, red pepper flakes, and white miso paste. 
3. Whisk ingredients together, making sure the white miso paste is fully melted into the butter. When ingredients are added to the brown butter, it will fizzle up. This is expected, keep whisking 
4. Once the miso is incorporated into the butter, add honey. Start with 1/4 cup of honey, whisk it in and give it a taste. Add more honey if necessary. The sauce should to be nicely balanced between sweet and salty, with a back-note of heat. Add in lemon, add kosher salt or miso if additional salt is needed.
",Entree
Easy Chicken and Dumplings,,,"- [ ] Two 16oz cans of refrigerated biscuits (homestyle preferred)
- [ ] 1 cup half-and-half
- [ ] 4-5 cups shredded meat from store-bought rotisserie chicken
- [x] Two 48oz or three 32oz chicken broth
- [x] 1/2 cup all purpose flour
- [x] 1tsp kosher salt
- [x] 1tsp freshly ground pepper ","1. In a large (6-8 quart) soup pot, bring the broth to a boil, then reduce the heat to a simmer.
2. Dust a cutting board with flour. Open the canned biscuits and separate them. Place the biscuits on the floured board. Cut each one in thirds into 8 slices, like a pizza. As you cut a few biscuits, scrape the pieces and the flour into the simmering broth. Continue to generously flour the board as you cut.
3. Stir in the half-and-half, shredded chicken, and salt and pepper. Cover and simmer gently until heated through and the dumplings are cooked, about 20 minutes. ",Entree
Mom's Mac n Meat,,,"- [ ] 1lb ground beef
- [ ] Yellow onion, chopped
- [ ] 1 can Campbell cream of mushroom soup
- [ ] 1 family size Kraft Mac n cheese
- [x] Butter
- [x] Milk","1. Brown ground beef with chopped onion. 
2. Add 1 can of Campbell's cream of mushroom soup with some milk. Stir occassionally over heat until thickened
3. Make family size box of kraft mac and cheese according to directions on box. Add a little more butter and milk than the recipe calls for so it doesn't dry out in the oven. 
4. Layer in a pan with meat on bottom, mac on top. 
5. Bake at 350F for 30 min or until a little bubbly
",Entree
Artichoke Bleu Cheese Fettucine,,,"- [x] 1-1/2 cups Alfredo sauce
- [x] 1/4 cup crumbled blue cheese
- [x] 1 package (12 ounces) fettuccine
- [x] 1 can (14 ounces) water-packed artichoke hearts, drained and chopped
- Mushrooms (optional)","1. Cook fettuccine according to package directions.
2. While fettucine cooks, place a lightly oiled large nonstick skillet over medium-high heat. Add mushrooms and artichoke hearts; cook and stir until mushrooms are tender. 
3. Stir in Alfredo sauce. Bring to a boil over medium heat. Reduce heat; simmer, uncovered, 5 minutes, stirring occasionally.
4. Drain fettuccine, reserving 1/3 cup pasta water. Add fettuccine to artichoke mixture; toss to combine, adding reserved pasta water if desired. Sprinkle with blue cheese.",Entree
Creamy Lemon Baked Fish,,,"- [ ] 2 Tablespoons lemon juice
- [ ] 1/2 cup heavy cream
- [x] 1/4 cup unsalted butter melted

- [ ] 2-3 tablespoons capers
- [x] Parsley
- [x] 2-3 large garlic cloves = 1tsp minced 
- [x] 1/2 teaspoon Italian seasoning
- [x] 1/4 teaspoon cumin
- [x] 1/4 teaspoon black pepper
- [x] 1/4 teaspoon salt

- [ ] 1 pound cod fish fillets","1. Preheat oven to 400F.
2. Add all the ingredients into baking dish except for fish and mix well.
3. Add in fish fillets and toss to coat.
4. Sprinkle with more salt and pepper.
5. Bake for 12-15 minutes until flaky or cod registers between 130F and 140F.
6. Garnish with fresh parsley and lemon slices.",Entree
Crispy Tofu Gyros,,,,,Appetizer
Chicken Shwarma Pita Pocket,,,"- Trader Joe's Garlic Dip
- Trader Joe's Tzatziki Sauce
- Trader Joe's Chicken Schwarma
- Beefsteak Tomatoes (or any fresh sliced)
- White Onion
- Pita Bread","1. Bake Chicken Schwarma as per directions on package
2. Cut tomato in half, Slice  
3. Cut onion in half, slice into strips
4. Rip Pita in half, toast in toaster
5. Spread Garlic dip on one half of inside of pita pocket, Tzatziki on the other. I find it easier to put the garlic dip on top half first as it's thicket and stays, then put the Tzatziki on the bottom.
6. Place onions and tomatoes in pita pocket
7. Fill pita pocket with chicken schwarma
8. serve!",Entree
Chinese Nai Wong Custard Sandwich,,,"- 3 tbsp cornstarch
- 1 tsp all-purpose flour
- 1/4 cup granulated sugar (used twice)
- 4 egg yolks
- 1 cup whole milk
- 1 tbsp butter
- 1/4 tsp vanilla extract","1. Mix the cornstarch, all-purpose flour, and half of the sugar together in a small bowl.
2. Place the egg yolks in a large bowl. Stir a few times to mix the yolks.
3. Add the milk and the remaining half of the sugar into a small saucepan. Heat over medium heat. Stir occasionally to dissolve the sugar completely. You might see a few bubbles here and there. If the milk starts foaming, it’s too hot.
4. While the milk starts to get warm, add the dry ingredients (from step 1 of the custard) into the bowl with the egg yolks. Whisk until it forms an even paste. Do not add the dry ingredients too early, because the sugar will change the texture of the eggs.
5. Add the warm milk into the egg yolk mixture, about 1/4 cup at a time. Whisk constantly until the milk is fully incorporated into the paste. Continue to add more milk, a 1/4 cup at a time and continuously stirring, until it forms a thin, smooth mixture and all the milk is added.
6. Return the mixture back to the pot (the one you used to heat the milk). Heat over medium low heat and stir constantly, until the mixture thickens, 5 minutes or so. Keep cooking and stirring, until you can draw a line on the bottom of the pot using a spatula. (Note, the custard will start to thicken suddenly, like a switch was flipped. So you should keep a close eye on it.)
7. Remove the pot from the stove immediately. Add the butter and vanilla extract. Stir to mix well.
8. Line a large, deep plate with plastic wrap. Place a large mesh strainer on top.
9. Pour the custard into the lined plate through the strainer to smooth out the texture. Use a spatula to press the custard through the strainer if any lumps remain.
10. Cover the custard with plastic wrap. Press the wrap against the custard, so it won’t form a skin once it’s chilled.
11. Chill the custard in the fridge until it’s cooled, 2 hours or so. Or in the freezer for 30 mins.",Breakfast
Ricotta Cuoricini Ravioli,,,,,Entree
Honey Walnut Shrimp,,,,,Entree
